road,district
蘭州街,大同區
饒河街,松山區
寶興街,萬華區
寶慶路,中正區
寶清街,松山區
麗水街,大安區
麗山街,內湖區
關渡路,北投區
羅斯福路四段,中正區
羅斯福路四段,大安區
羅斯福路四段,文山區
羅斯福路六段,文山區
羅斯福路五段,文山區
羅斯福路三段,中正區
羅斯福路三段,大安區
羅斯福路二段,中正區
羅斯福路二段,大安區
羅斯福路一段,中正區
懷德街,北投區
懷寧街,中正區
雙溪街,士林區
雙園街,萬華區
雙連街,大同區
雙城街,中山區
雙和街,萬華區
雙全街,北投區
鎮江街,中正區
豐年路二段,北投區
豐年路一段,北投區
舊莊街二段,南港區
舊莊街一段,南港區
舊宗路二段,內湖區
舊宗路一段,內湖區
歸綏街,大同區
隱潭路,北投區
襄陽路,中正區
臨溪路,士林區
臨沂街,中正區
臨江街,大安區
磺溪街,士林區
磺港路,北投區
環河南路三段,萬華區
環河南路二段,萬華區
環河南路一段,萬華區
環河北路三段,士林區
環河北路二段,大同區
環河北路一段,大同區
環山路三段,內湖區
環山路二段,內湖區
環山路一段,內湖區
濱江街,中山區
濱江街,松山區
濟南路三段,大安區
濟南路二段,中正區
濟南路一段,中正區
龍泉街,大安區
龍江路,中山區
館前路,中正區
錦西街,大同區
錦西街,中山區
錦州街,中山區
遼寧街,中山區
衡陽路,中正區
興德路,文山區
興寧街,萬華區
興義街,萬華區
興順街,文山區
興隆路四段,文山區
興隆路三段,文山區
興隆路二段,文山區
興隆路一段,文山區
興華路,南港區
興城街,大同區
興南街,南港區
興東街,南港區
興安街,中山區
興安街,松山區
興中路,南港區
樹林路,北投區
學園路,北投區
鄭州路,中正區
鄭州路,大同區
稻香路,北投區
潮州街,中正區
潮州街,大安區
潭美街,內湖區
樟新街,文山區
樂群四路,中山區
樂群三路,中山區
樂群二路,中山區
樂群一路,中山區
樂業街,大安區
樂利路,大安區
撫遠街,松山區
撫順街,大同區
撫順街,中山區
慶城街,松山區
德惠街,中山區
德昌街,萬華區
德行東路,士林區
德行西路,士林區
廣州街,中正區
廣州街,萬華區
劍潭路,士林區
劍南路,中山區
劍南路,士林區
齊東街,中正區
銅山街,中正區
艋舺大道,萬華區
